cyclone_id,disturbance_id,cyclone_name,season_year,season_label,month,peak_datetime,first_in_region,last_in_region,hours_in_region,category,category_from_pres,max_wind_ms,max_wind_kmh,min_pressure_hpa,peak_lat,peak_lon,km_to_port_hedland,close_port_hedland,km_to_dampier,close_dampier,track_points,data_tier,lost_mt,lost_lo_mt,lost_hi_mt,downtime_days,downtime_hours,availability,capability_mt,total_throughput_mt,weighted_severity,event_severity,severity_share,event_lost_mt,event_lost_lo_mt,event_lost_hi_mt,event_downtime_days,event_downtime_hours,days_since_previous
1,AU201415_16U,Olwyn,2015,2014-15,2015-03-01,2015-03-12 18:00:00,2015-03-11 18:00:00,2015-03-13 00:00:00,30.0,3,3,38.6,139.0,955.0,-22.21,113.74,413.8,False,231.4,False,28,A,0.6297819533081963,0.34450852405203725,0.9150553825643568,0.47771274874614217,11.465105969907412,0.9842857648438769,40.077162334101885,37.104741,0.3789360918020126,0.3789360918020126,1.0,0.6297819533081963,0.34450852405203725,0.9150553825643568,0.47771274874614217,11.465105969907412,
2,AU201415_21U,Quang,2015,2014-15,2015-05-01,2015-05-01 03:00:00,2015-05-01 03:00:00,2015-05-01 12:00:00,9.0,2,1,28.3,101.9,985.0,-21.2,113.6,458.8,False,276.6,False,21,A,0.33526073599903583,0.18339709597093776,0.4871243760271368,0.2425295408250546,5.82070897980131,0.9920220545781232,42.02344316366185,38.72945061,0.2017244101181328,0.20172441011813283,1.0,0.33526073599903583,0.18339709597093776,0.4871243760271368,0.2425295408250546,5.82070897980131,49.375
3,AU201516_08U,Stan,2016,2015-16,2016-01-01,2016-01-30 06:00:00,2016-01-29 06:00:00,2016-01-31 06:00:00,48.0,2,2,28.3,101.9,980.0,-18.7,118.9,135.3,True,315.7,False,21,A,1.6898728113165191,0.9244081781070375,2.4553374445260063,1.2994337920273853,31.186411008657245,0.9572554673675202,39.53424466811121,34.0876195,1.0167865169826358,1.0167865169826358,1.0,1.6898728113165191,0.9244081781070375,2.4553374445260063,1.2994337920273853,31.186411008657245,274.125
4,AU201617_14U,Unnamed,2017,2016-17,2017-01-01,2017-01-28 06:00:00,2017-01-26 18:00:00,2017-01-28 06:00:00,36.0,1,1,23.2,83.5,986.0,-20.3,113.0,184.4,False,141.8,True,22,A,0.6610049741080459,0.3615883986907084,0.9604215495253803,0.4969361364274542,11.9264672742589,0.9836534165648864,40.43688864598826,40.50964087,0.3977227995093341,0.39772279950933415,1.0,0.6610049741080459,0.3615883986907084,0.9604215495253803,0.4969361364274542,11.9264672742589,364.0
5,AU201617_22U,Unnamed,2017,2016-17,2017-03-01,2017-03-23 03:00:00,2017-03-22 06:00:00,2017-03-23 18:00:00,36.0,2,1,25.7,92.5,985.0,-20.0,118.4,8.4,True,176.8,False,21,A,3.1872333960347987,1.7435067284945962,4.630960063575003,2.3089009721132,55.4136233307168,0.9240493101278553,41.96450883329936,39.49439867,1.917739561144969,1.917739561144969,1.0,3.1872333960347987,1.7435067284945962,4.630960063575003,2.3089009721132,55.4136233307168,53.875
6,AU201718_06U,Hilda,2017,2017-18,2017-12-01,2017-12-27 09:00:00,2017-12-27 09:00:00,2017-12-28 18:00:00,33.0,2,2,28.3,101.9,980.0,-17.8,122.2,322.0,False,519.2,False,14,A,0.6644160572602971,0.36345435756112116,0.9653777569594726,0.45028042607138385,10.806730225713213,0.9851881438792308,44.85704234789669,47.25510263,0.399775228150289,0.399775228150289,1.0,0.6644160572602971,0.36345435756112116,0.9653777569594726,0.45028042607138385,10.806730225713213,279.25
7,AU201718_09U,Joyce,2018,2017-18,2018-01-01,2018-01-12 12:00:00,2018-01-11 12:00:00,2018-01-13 12:00:00,48.0,2,2,25.7,92.5,975.0,-20.1,119.9,91.3,True,208.7,False,34,A,2.1057111878337977,1.1518835203038544,3.0595388553637406,1.5454167333066904,37.09000159936057,0.9491639232464905,41.421591167308684,41.834776520000005,1.2669940187870532,1.2669940187870532,1.0,2.1057111878337977,1.1518835203038544,3.0595388553637406,1.5454167333066904,37.09000159936057,16.125
8,AU201718_17U,Kelvin,2018,2017-18,2018-02-01,2018-02-18 06:00:00,2018-02-16 06:00:00,2018-02-18 12:00:00,54.0,3,3,41.2,148.3,955.0,-19.8,122.1,239.3,False,433.7,False,35,A,1.5069961646757477,0.8243694848944874,2.1896228444570065,1.2463350559209396,29.91204134210255,0.9590021363183902,36.757919299871496,39.34983106,0.9067507158678328,0.9067507158678327,1.0,1.5069961646757477,0.8243694848944874,2.1896228444570065,1.2463350559209396,29.91204134210255,36.75
9,AU201819_12U,Riley,2019,2018-19,2019-01-01,2019-01-27 06:00:00,2019-01-26 06:00:00,2019-01-27 06:00:00,24.0,3,2,36.0,129.6,971.0,-17.6,113.7,349.1,False,343.0,False,51,A,0.870331047480768,0.47609567570052613,1.2645664192610118,0.6239183277294956,14.974039865507894,0.9794763707983718,42.40629368862911,42.23168763,0.5236730648979393,0.5236730648979393,1.0,0.870331047480768,0.47609567570052613,1.2645664192610118,0.6239183277294956,14.974039865507894,343.0
10,AU201819_19U,Veronica,2019,2018-19,2019-03-01,2019-03-24 00:00:00,2019-03-22 00:00:00,2019-03-26 18:00:00,114.0,4,4,48.9,176.0,941.0,-20.0,117.6,91.8,True,35.0,True,41,A,4.200906969462956,2.2980148162825462,6.103799122643364,2.9068107210364222,69.76345730487414,0.9043812262816966,43.93391387594022,36.75267513,2.5276609795979836,2.5276609795979836,1.0,4.200906969462956,2.2980148162825462,6.103799122643364,2.9068107210364222,69.76345730487414,55.75
11,AU201920_02U,Blake,2020,2019-20,2020-01-01,2020-01-06 12:00:00,2020-01-06 12:00:00,2020-01-08 12:00:00,48.0,1,1,20.6,74.2,987.0,-17.5,122.2,101.1,True,290.4,False,18,A,1.0025092288251827,0.5484008758220075,1.4566175818283584,0.7023641588873535,16.856739813296485,0.9768959158260739,43.39099620994954,41.05300076,0.6032038980649526,0.6032038980649526,1.0,1.0025092288251827,0.5484008758220075,1.4566175818283584,0.7023641588873535,16.856739813296485,288.5
12,AU201920_05U,Damien,2020,2019-20,2020-02-01,2020-02-08 03:00:00,2020-02-06 09:00:00,2020-02-09 12:00:00,75.0,3,3,43.7,157.3,955.0,-19.9,116.5,191.8,False,6.8,True,45,A,1.910984156684826,1.0453623319119438,2.7766059814577044,1.5000757049318527,36.00181691836447,0.9506554044430312,38.72732434251235,39.08426041,1.1498279111140846,1.1498279111140846,1.0,1.910984156684826,1.0453623319119438,2.7766059814577044,1.5000757049318527,36.00181691836447,32.625
13,AU201920_09U,Unnamed,2020,2019-20,2020-03-01,2020-03-12 12:00:00,2020-03-11 18:00:00,2020-03-13 06:00:00,36.0,1,0,23.2,83.5,995.0,-20.8,114.8,366.3,False,199.2,False,19,A,0.2662035828067175,0.1456208818438875,0.38678628376954227,0.18016113510160872,4.3238672424386095,0.9940736468716576,44.91861639726064,47.24967983,0.1601731277985749,0.16017312779857493,1.0,0.2662035828067175,0.1456208818438875,0.38678628376954227,0.18016113510160872,4.3238672424386095,33.375
14,AU202021_02U,Unnamed,2020,2020-21,2020-12-01,2020-12-11 00:00:00,2020-12-11 00:00:00,2020-12-11 06:00:00,6.0,1,0,23.2,83.5,992.0,-19.36,117.12,40.6,True,150.8,False,26,A,1.3566332594061734,0.7421167269447091,1.9711497918676342,0.8625948374380983,20.70227609851436,0.9716251698211151,47.81114991185797,47.32749681,0.8162782414256099,0.8162782414256099,1.0,1.3566332594061734,0.7421167269447091,1.9711497918676342,0.8625948374380983,20.70227609851436,273.5
15,AU202021_08U,Unnamed,2021,2020-21,2021-01-01,2021-01-22 00:00:00,2021-01-21 18:00:00,2021-01-22 18:00:00,24.0,1,0,18.0,64.8,992.0,-18.3,119.9,220.0,False,416.3,False,22,A,0.5532231049681187,0.3026286707056244,0.8038175392306097,0.37899081866579776,9.095779647979146,0.9875331967544145,44.375698731269964,42.70448458,0.3328710836980795,0.33287108369807955,1.0,0.5532231049681187,0.3026286707056244,0.8038175392306097,0.37899081866579776,9.095779647979146,42.0
16,AU202021_12U,Unnamed,2021,2020-21,2021-02-01,2021-02-01 00:00:00,2021-01-31 12:00:00,2021-02-03 18:00:00,78.0,0,0,15.4,55.4,992.0,-20.7,119.4,68.0,True,106.3,True,45,A,0.0,0.0,0.0,0.0,0.0,1.0,39.712026863832776,37.88159077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
17,AU202122_23U,Anika,2022,2021-22,2022-03-01,2022-03-02 12:00:00,2022-03-01 18:00:00,2022-03-03 06:00:00,36.0,2,2,25.7,92.5,978.0,-19.75,120.53,213.0,False,411.3,False,34,A,1.1458575017366073,0.6268164316611518,1.664898571812068,0.7442228702751205,17.86134888660289,0.9755189845304236,46.80596289645813,47.27028713,0.6894557095344404,0.6894557095344404,1.0,1.1458575017366073,0.6268164316611518,1.664898571812068,0.7442228702751205,17.86134888660289,394.5
