port,year,month_num,month,source_url,source_file,retrieved,data_tier,total_throughput_t,iron_ore_t,vessel_arrivals,parse_note,total_throughput_mt,iron_ore_mt,n_cyclones,max_category,total_severity,weighted_severity,max_pressure_deficit,nearest_km,t,severe,severity_lag1,predicted_mt,counterfactual_mt,estimated_loss_mt,loss_lo_mt,loss_hi_mt,loss_aud
port_hedland,2021,10,2021-10-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2021/cargo,-grt-and-dwt-statistics-by-commodity-type-october-2021.pdf",2021-10.pdf,2026-09-02,A,47378614.82,,274.0,,47.37861482,,0.0,0.0,0.0,0.0,0.0,9999.0,79,0,0.0,45.55922726185626,45.55922726185626,0.0,0.0,0.0,0.0
port_hedland,2021,11,2021-11-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2021/cargo,-grt-and-dwt-statistics-by-commodity-type-november-2021.pdf",2021-11.pdf,2026-09-02,A,43884301.07,,260.0,,43.88430107,,0.0,0.0,0.0,0.0,0.0,9999.0,80,0,0.0,44.87036751549263,44.87036751549263,0.0,0.0,0.0,0.0
port_hedland,2021,12,2021-12-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2021/cargo,-grt-and-dwt-statistics-by-commodity-type-december-2021.pdf",2021-12.pdf,2026-09-02,A,51615296.29,,307.0,,51.61529629,,0.0,0.0,0.0,0.0,0.0,9999.0,81,0,0.0,48.71379388973502,48.71379388973502,0.0,0.0,0.0,0.0
port_hedland,2022,1,2022-01-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type-january-2022.pdf",2022-01.pdf,2026-09-02,A,48596979.6,,283.0,,48.5969796,,0.0,0.0,0.0,0.0,0.0,9999.0,82,0,0.0,45.278342709147026,45.278342709147026,0.0,0.0,0.0,0.0
port_hedland,2022,2,2022-02-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type-february-2022.pdf",2022-02.pdf,2026-09-02,A,39892555.39,,231.0,,39.89255539,,0.0,0.0,0.0,0.0,0.0,9999.0,83,0,0.0,40.61467084170983,40.61467084170983,0.0,0.0,0.0,0.0
port_hedland,2022,3,2022-03-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type-march-2022.pdf",2022-03.pdf,2026-09-02,A,47270287.13,,275.0,,47.27028713,,1.0,2.0,2.0,0.6894557095344404,32.0,213.0,84,0,0.0,45.66010539472152,46.80596289645813,1.1458575017366073,0.6268164316611518,1.664898571812068,176285769.49793956
port_hedland,2022,4,2022-04-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type.pdf",2022-04.pdf,2026-09-02,A,46246447.58,,269.0,,46.24644758,,0.0,0.0,0.0,0.0,0.0,9999.0,85,0,0.6894557095344404,45.96705889976869,45.96705889976869,0.0,0.0,0.0,0.0
port_hedland,2022,5,2022-05-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_1.pdf",2022-05.pdf,2026-09-02,A,48493315.5,,285.0,,48.4933155,,0.0,0.0,0.0,0.0,0.0,9999.0,86,0,0.0,48.7522437260181,48.7522437260181,0.0,0.0,0.0,0.0
port_hedland,2022,6,2022-06-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/about%20ppa/news,%20media%20and%20statistics/photo%20gallery/cargo,-grt-and-dwt-statistics-by-commodity-type.pdf",2022-06.pdf,2026-09-02,A,50330949.68,,298.0,,50.33094968,,0.0,0.0,0.0,0.0,0.0,9999.0,87,0,0.0,50.726601378018195,50.726601378018195,0.0,0.0,0.0,0.0
port_hedland,2022,7,2022-07-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/cargo,-grt-and-dwt-statistics-by-commodity-type.pdf",2022-07.pdf,2026-09-02,A,47588027.2,,275.0,,47.588027200000006,,0.0,0.0,0.0,0.0,0.0,9999.0,88,0,0.0,44.09638580439466,44.09638580439466,0.0,0.0,0.0,0.0
