model,term,coef_mt,std_err,ci_low,ci_high,p_value,adj_r2,n,formula
M1 severity count,total_severity,-0.7834740774578329,0.21138916519161727,-1.2019059686421576,-0.36504218627350826,0.0003165160022902893,0.8000325410073768,137,total_throughput_mt ~ total_severity + C(month_num) + t
M2 distance weighted,weighted_severity,-1.6619740556073594,0.38032361945878757,-2.4148013408088183,-0.9091467704059009,2.6135818953979792e-05,0.8075744304577502,137,total_throughput_mt ~ weighted_severity + C(month_num) + t
M3 severe indicator,severe,-2.3511470022928074,0.779604515870229,-3.8943263400593384,-0.8079676645262763,0.003114365716279347,0.7930060646004208,137,total_throughput_mt ~ severe + C(month_num) + t
M4 weighted plus lag,weighted_severity,-1.6602794869853197,0.3816186241348403,-2.4157316689404666,-0.9048273050301727,2.836035375327706e-05,0.8062830000946251,137,total_throughput_mt ~ weighted_severity + severity_lag1 + C(month_num) + t
