port,year,month_num,month,source_url,source_file,retrieved,data_tier,total_throughput_t,iron_ore_t,vessel_arrivals,parse_note,total_throughput_mt,iron_ore_mt,n_cyclones,max_category,total_severity,weighted_severity,max_pressure_deficit,nearest_km,t,severe,severity_lag1,fitted_mt,capability_mt,lost_mt,lost_lo_mt,lost_hi_mt,availability,daily_capability_mt,downtime_days,downtime_hours,failure_mode,below_target
port_hedland,2024,4,2024-04-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_17.pdf",2024-04.pdf,2026-09-02,A,50276431.44,,298.0,,50.27643144,,1.0,1.0,1.0,0.2193690078015048,17.0,303.4,109,0,0.0,47.57187834283911,47.936463942409546,0.36458559957043235,0.199438624969887,0.5297325741709759,0.9923943993864787,1.5768573665266299,0.2312102586510479,5.54904620762515,Weather - cyclone or tropical low,False
port_hedland,2024,5,2024-05-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2022/cargo,-grt-and-dwt-statistics-by-commodity-type_18.pdf",2024-05.pdf,2026-09-02,A,52706468.46,,304.0,,52.70646846,,0.0,0.0,0.0,0.0,0.0,9999.0,110,0,0.2193690078015048,50.72164876865895,50.72164876865895,0.0,0.0,0.0,1.0,1.6684752884427287,0.0,0.0,No weather event,False
port_hedland,2024,6,2024-06-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type-june.pdf",2024-06.pdf,2026-09-02,A,54894776.38,,324.0,,54.89477638,,0.0,0.0,0.0,0.0,0.0,9999.0,111,0,0.0,52.696006420659046,52.696006420659046,0.0,0.0,0.0,1.0,1.7334212638374686,0.0,0.0,No weather event,False
port_hedland,2024,7,2024-07-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type_july.pdf",2024-07.pdf,2026-09-02,A,43978999.44,,270.0,,43.97899944,,0.0,0.0,0.0,0.0,0.0,9999.0,112,0,0.0,46.06579084703551,46.06579084703551,0.0,0.0,0.0,1.0,1.5153220673366945,0.0,0.0,No weather event,False
port_hedland,2024,8,2024-08-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type_2-august.pdf",2024-08.pdf,2026-09-02,A,48605590.78,,287.0,,48.60559078,,0.0,0.0,0.0,0.0,0.0,9999.0,113,0,0.0,49.04851163490845,49.04851163490845,0.0,0.0,0.0,1.0,1.6134378827272517,0.0,0.0,No weather event,False
port_hedland,2024,9,2024-09-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type-september.pdf",2024-09.pdf,2026-09-02,A,49825667.18,,297.0,,49.82566718,,0.0,0.0,0.0,0.0,0.0,9999.0,114,0,0.0,49.154642200363,49.154642200363,0.0,0.0,0.0,1.0,1.616929019748783,0.0,0.0,No weather event,False
port_hedland,2024,10,2024-10-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type-october.pdf",2024-10.pdf,2026-09-02,A,46178591.02,,270.0,,46.178591020000006,,0.0,0.0,0.0,0.0,0.0,9999.0,115,0,0.0,48.51333482581753,48.51333482581753,0.0,0.0,0.0,1.0,1.5958333824282083,0.0,0.0,No weather event,False
port_hedland,2024,11,2024-11-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type-november-2024.pdf",2024-11.pdf,2026-09-02,A,49286279.7,,276.0,,49.2862797,,0.0,0.0,0.0,0.0,0.0,9999.0,116,0,0.0,47.82447507945391,47.82447507945391,0.0,0.0,0.0,1.0,1.5731735223504577,0.0,0.0,No weather event,False
port_hedland,2024,12,2024-12-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2024/cargo,-grt-and-dwt-statistics-by-commodity-type-december.pdf",2024-12.pdf,2026-09-02,A,48259081.96,,277.0,,48.25908196,,0.0,0.0,0.0,0.0,0.0,9999.0,117,0,0.0,51.6679014536963,51.6679014536963,0.0,0.0,0.0,1.0,1.699602021503168,0.0,0.0,No weather event,False
port_hedland,2025,1,2025-01-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2025/cargo,-grt-and-dwt-statistics-by-commodity-type.pdf",2025-01.pdf,2026-09-02,A,46525355.57,,274.0,,46.52535557,,1.0,3.0,3.0,1.722216783589308,45.0,111.0,118,1,0.0,45.3701706606513,48.2324502731083,2.8622796124570016,1.5657478267390739,4.158811398174927,0.9406565580589454,1.5865937589838257,1.8040406350080573,43.296975240193376,Weather - severe cyclone,True
port_hedland,2025,2,2025-02-01,"https://www.pilbaraports.com.au/pilbaraportsauthority/media/documents/port%20of%20port%20hedland/about%20the%20port%20of%20port%20hedland/port%20statistics%20and%20reports/cargo%20weights%20by%20cargo%20type/2025/cargo,-grt-and-dwt-statistics-by-commodity-type_february2025.pdf",2025-02.pdf,2026-09-02,A,37455376.63,,221.0,,37.45537663,,1.0,4.0,4.0,2.99155811724854,83.0,58.1,119,1,1.722216783589308,38.59688642896241,43.56877840567111,4.971891976708704,2.7197654007780954,7.224018552639305,0.8858840628852348,1.4331835001865498,3.4691244882888617,83.25898771893267,Weather - severe cyclone,True
